flightdate,airline,carrier,origin,orignum,destination,deptime,depdelta,depdelay,arrtime,arrdelta,arrdelayy,cancelled,cancelreason,distance,carrierdelay,weatherdelay,NASdelay,SecurityDelay,lateaircraftdelay
4/17/14,20409,B6,ABQ,1,JFK,4,5,5,603,2,2,0,,1826,,,,,
4/6/14,19977,UA,AGS,2,ATL,1,86,86,101,81,81,0,,143,0,54,0,0,27
4/2/14,19977,UA,ANC,3,DEN,3,4,4,726,21,21,0,,2405,0,0,21,0,0
4/1/14,19977,UA,ANC,3,DEN,4,5,5,702,-3,0,0,,2405,,,,,
4/10/14,19977,UA,ANC,3,DEN,4,5,5,642,-23,0,0,,2405,,,,,
4/12/14,19977,UA,ANC,3,DEN,6,7,7,705,0,0,0,,2405,,,,,
4/26/14,19977,UA,ANC,3,DEN,6,7,7,727,22,22,0,,2405,7,0,15,0,0
4/30/14,19790,DL,ATL,4,BOS,1,141,141,207,116,116,0,,946,0,0,116,0,0
4/30/14,19393,WN,ATL,4,MSY,2,122,122,29,109,109,0,,425,0,0,0,0,109
4/30/14,20366,EV,ATL,4,CHA,3,68,68,38,60,60,0,,106,60,0,0,0,0
4/6/14,19790,DL,ATL,4,MSY,3,65,65,32,64,64,0,,425,64,0,0,0,0
4/13/14,19393,WN,ATL,4,STL,3,123,123,31,96,96,0,,484,5,0,0,0,91
4/28/14,19790,DL,ATL,4,TYS,4,69,69,141,117,117,0,,152,0,61,48,0,8
4/25/14,20366,EV,ATL,4,CAE,6,74,74,101,74,74,0,,192,2,65,7,0,0
4/14/14,19790,DL,ATL,4,CHS,6,137,137,106,129,129,0,,259,129,0,0,0,0
4/7/14,19790,DL,ATL,4,MCO,6,71,71,121,65,65,0,,404,31,0,0,0,34
4/28/14,20366,EV,ATL,4,TRI,0,0,0,,,0,1,B,227,,,,,
4/30/14,20409,B6,BOS,5,EWR,1,187,187,117,178,178,0,,200,0,0,5,0,173
4/23/14,20409,B6,BOS,5,SJU,1,6,6,335,-10,0,0,,1674,,,,,
4/14/14,20409,B6,BOS,5,SJU,3,8,8,339,-6,0,0,,1674,,,,,
4/10/14,19977,UA,BOS,5,IAD,5,275,275,128,259,259,0,,413,0,0,0,0,259
