airline,orignum,deptime,depdelay,arrdelay,cancelled,distance
19930.00,83.00,0.00,0.00,0.00,1.00,1448.00
19930.00,65.00,0.00,0.00,0.00,1.00,1448.00
19930.00,83.00,0.00,0.00,0.00,1.00,679.00
19930.00,83.00,0.00,0.00,0.00,1.00,679.00
19930.00,83.00,0.00,0.00,0.00,1.00,697.00
19930.00,83.00,0.00,0.00,0.00,1.00,697.00
19930.00,83.00,0.00,0.00,0.00,1.00,679.00
19930.00,83.00,0.00,0.00,0.00,1.00,550.00
20409.00,74.00,0.00,0.00,0.00,1.00,944.00
20409.00,83.00,0.00,0.00,0.00,1.00,354.00
20409.00,83.00,0.00,0.00,0.00,1.00,1504.00
20409.00,80.00,0.00,0.00,0.00,1.00,496.00
20409.00,66.00,0.00,0.00,0.00,1.00,496.00
20366.00,73.00,0.00,0.00,0.00,1.00,534.00
20366.00,76.00,0.00,0.00,0.00,1.00,552.00
20366.00,73.00,0.00,0.00,0.00,1.00,212.00
20366.00,67.00,0.00,0.00,0.00,1.00,419.00
20366.00,76.00,0.00,0.00,0.00,1.00,419.00
20366.00,68.00,0.00,0.00,0.00,1.00,199.00
20366.00,69.00,0.00,0.00,0.00,1.00,199.00
20366.00,67.00,0.00,0.00,0.00,1.00,463.00
20366.00,69.00,0.00,0.00,0.00,1.00,463.00
20366.00,67.00,0.00,0.00,0.00,1.00,912.00
20366.00,77.00,0.00,0.00,0.00,1.00,316.00
20366.00,76.00,0.00,0.00,0.00,1.00,419.00
20366.00,80.00,0.00,0.00,0.00,1.00,335.00
20366.00,66.00,0.00,0.00,0.00,1.00,854.00
20366.00,79.00,0.00,0.00,0.00,1.00,282.00
20366.00,77.00,0.00,0.00,0.00,1.00,726.00
20366.00,67.00,0.00,0.00,0.00,1.00,441.00
20366.00,73.00,0.00,0.00,0.00,1.00,576.00
20366.00,68.00,0.00,0.00,0.00,1.00,199.00
20366.00,71.00,0.00,0.00,0.00,1.00,152.00
20366.00,68.00,0.00,0.00,0.00,1.00,483.00
20366.00,65.00,0.00,0.00,0.00,1.00,160.00
20366.00,82.00,0.00,0.00,0.00,1.00,100.00
20366.00,68.00,0.00,0.00,0.00,1.00,604.00
20436.00,70.00,0.00,0.00,0.00,1.00,627.00
20366.00,71.00,0.00,0.00,0.00,1.00,239.00
20437.00,66.00,0.00,0.00,0.00,1.00,946.00
20437.00,68.00,0.00,0.00,0.00,1.00,432.00
20398.00,67.00,0.00,0.00,0.00,1.00,265.00
20398.00,83.00,0.00,0.00,0.00,1.00,364.00
20398.00,70.00,0.00,0.00,0.00,1.00,557.00
20398.00,72.00,0.00,0.00,0.00,1.00,510.00
20398.00,88.00,0.00,0.00,0.00,1.00,522.00
20398.00,83.00,0.00,0.00,0.00,1.00,1041.00
20366.00,65.00,0.00,0.00,0.00,1.00,554.00
20398.00,77.00,0.00,0.00,0.00,1.00,293.00
20398.00,88.00,0.00,0.00,0.00,1.00,522.00
20398.00,74.00,0.00,0.00,0.00,1.00,427.00
