id,tsunami,year,eq,region,deaths
10330.00,0.00,2018.00,2.10,10.00,7.00
10293.00,0.00,2018.00,3.40,120.00,0.00
10331.00,0.00,2018.00,4.10,120.00,5.00
10327.00,0.00,2018.00,4.40,60.00,3.00
10326.00,0.00,2018.00,4.70,130.00,0.00
10340.00,0.00,2018.00,4.90,160.00,2.00
10292.00,0.00,2018.00,4.90,130.00,0.00
10323.00,0.00,2018.00,4.90,160.00,0.00
10290.00,0.00,2018.00,5.00,140.00,0.00
10353.00,0.00,2018.00,5.00,30.00,0.00
10339.00,0.00,2018.00,5.10,30.00,0.00
10304.00,0.00,2018.00,5.20,60.00,1.00
10348.00,0.00,2018.00,5.20,60.00,1.00
10328.00,0.00,2018.00,5.20,140.00,0.00
10346.00,0.00,2018.00,5.30,40.00,1.00
10367.00,0.00,2018.00,5.30,60.00,1.00
10322.00,0.00,2018.00,5.30,140.00,0.00
10329.00,0.00,2018.00,5.30,140.00,0.00
10362.00,0.00,2018.00,5.50,140.00,1.00
10342.00,0.00,2018.00,5.50,30.00,5.00
10294.00,0.00,2018.00,5.50,140.00,0.00
10324.00,0.00,2018.00,5.60,30.00,0.00
10334.00,0.00,2018.00,5.60,100.00,0.00
10368.00,0.00,2018.00,5.60,30.00,0.00
10337.00,0.00,2018.00,5.80,60.00,0.00
10352.00,0.00,2018.00,5.90,60.00,2.00
10370.00,0.00,2018.00,5.90,90.00,18.00
10347.00,0.00,2018.00,5.90,140.00,0.00
10299.00,0.00,2018.00,6.00,60.00,1.00
10358.00,0.00,2018.00,6.00,140.00,2.00
10371.00,0.00,2018.00,6.00,60.00,4.00
10312.00,0.00,2018.00,6.00,170.00,11.00
10313.00,0.00,2018.00,6.10,170.00,1.00
10301.00,0.00,2018.00,6.10,40.00,2.00
10333.00,0.00,2018.00,6.20,40.00,0.00
10354.00,0.00,2018.00,6.30,60.00,2.00
10325.00,0.00,2018.00,6.30,170.00,4.00
10302.00,0.00,2018.00,6.40,30.00,17.00
10349.00,0.00,2018.00,6.40,60.00,17.00
10360.00,0.00,2018.00,6.60,30.00,44.00
10311.00,0.00,2018.00,6.70,170.00,25.00
10372.00,1.00,2018.00,6.80,130.00,0.00
10355.00,0.00,2018.00,6.90,60.00,10.00
10351.00,1.00,2018.00,6.90,60.00,560.00
10332.00,1.00,2018.00,6.90,150.00,0.00
10298.00,0.00,2018.00,7.10,160.00,2.00
10359.00,1.00,2018.00,7.10,170.00,0.00
10303.00,0.00,2018.00,7.20,150.00,13.00
10357.00,1.00,2018.00,7.30,90.00,5.00
10307.00,0.00,2018.00,7.50,170.00,145.00
10369.00,1.00,2018.00,7.50,0.00,2256.00
10291.00,1.00,2018.00,7.50,90.00,0.00
10361.00,0.00,2018.00,7.80,170.00,0.00
10300.00,1.00,2018.00,7.90,150.00,0.00
10356.00,1.00,2018.00,8.20,170.00,0.00
10317.00,0.00,2017.00,3.20,60.00,1.00
10289.00,0.00,2017.00,4.00,140.00,1.00
10263.00,0.00,2017.00,4.20,130.00,2.00
10255.00,0.00,2017.00,4.40,10.00,1.00
10241.00,0.00,2017.00,4.80,100.00,1.00
10288.00,0.00,2017.00,4.90,140.00,2.00
10264.00,0.00,2017.00,5.00,170.00,2.00
10227.00,0.00,2017.00,5.00,140.00,4.00
10251.00,0.00,2017.00,5.00,140.00,0.00
10239.00,0.00,2017.00,5.10,60.00,2.00
10285.00,0.00,2017.00,5.10,30.00,0.00
10318.00,0.00,2017.00,5.40,160.00,1.00
10248.00,0.00,2017.00,5.40,40.00,8.00
10277.00,0.00,2017.00,5.40,30.00,0.00
10254.00,0.00,2017.00,5.50,60.00,2.00
10283.00,0.00,2017.00,5.60,160.00,1.00
10257.00,0.00,2017.00,5.60,10.00,0.00
10316.00,0.00,2017.00,5.70,170.00,1.00
10226.00,0.00,2017.00,5.70,60.00,3.00
10234.00,0.00,2017.00,5.70,130.00,29.00
10269.00,0.00,2017.00,5.70,170.00,0.00
10249.00,0.00,2017.00,5.80,140.00,2.00
10282.00,0.00,2017.00,5.90,170.00,1.00
10242.00,0.00,2017.00,5.90,170.00,0.00
10286.00,0.00,2017.00,6.00,140.00,0.00
10319.00,0.00,2017.00,6.10,170.00,1.00
10240.00,0.00,2017.00,6.10,140.00,2.00
10268.00,0.00,2017.00,6.10,150.00,5.00
10247.00,1.00,2017.00,6.20,150.00,0.00
10252.00,1.00,2017.00,6.30,130.00,1.00
10237.00,0.00,2017.00,6.30,60.00,0.00
10262.00,0.00,2017.00,6.30,40.00,0.00
10284.00,0.00,2017.00,6.40,160.00,1.00
10276.00,0.00,2017.00,6.50,100.00,2.00
10258.00,0.00,2017.00,6.50,170.00,3.00
10287.00,0.00,2017.00,6.50,60.00,4.00
10238.00,0.00,2017.00,6.50,170.00,8.00
10261.00,0.00,2017.00,6.50,30.00,25.00
10273.00,1.00,2017.00,6.60,170.00,0.00
10260.00,1.00,2017.00,6.70,140.00,2.00
10272.00,1.00,2017.00,6.80,170.00,0.00
10250.00,0.00,2017.00,6.80,170.00,0.00
10256.00,0.00,2017.00,6.80,100.00,0.00
10253.00,0.00,2017.00,6.90,100.00,5.00
10225.00,1.00,2017.00,6.90,170.00,0.00
