id,tsunami,year,eq,region,deaths
7614.00,0.00,2007.00,1.60,150.00,3.00
10036.00,0.00,2013.00,2.10,150.00,14.00
10330.00,0.00,2018.00,2.10,10.00,7.00
10317.00,0.00,2017.00,3.20,60.00,1.00
8492.00,0.00,2009.00,3.40,30.00,2.00
7221.00,0.00,1982.00,3.50,150.00,10.00
9887.00,0.00,2011.00,3.50,60.00,2.00
8792.00,0.00,2009.00,3.50,10.00,2.00
10126.00,0.00,2015.00,3.60,130.00,4.00
5275.00,0.00,1991.00,3.80,120.00,9.00
5261.00,0.00,1990.00,4.00,10.00,10.00
4934.00,0.00,1981.00,4.00,60.00,6.00
10289.00,0.00,2017.00,4.00,140.00,1.00
5793.00,0.00,2004.00,4.00,140.00,1.00
4884.00,0.00,1980.00,4.00,130.00,1.00
10331.00,0.00,2018.00,4.10,120.00,5.00
8208.00,0.00,2008.00,4.10,110.00,2.00
7601.00,0.00,2007.00,4.20,150.00,9.00
5526.00,0.00,1999.00,4.20,60.00,6.00
10263.00,0.00,2017.00,4.20,130.00,2.00
5259.00,0.00,1990.00,4.20,10.00,2.00
6825.00,0.00,2005.00,4.20,30.00,1.00
5575.00,0.00,2000.00,4.20,30.00,1.00
5170.00,0.00,1988.00,4.30,170.00,74.00
5634.00,0.00,2002.00,4.30,40.00,5.00
9833.00,0.00,2011.00,4.30,140.00,2.00
5850.00,0.00,2005.00,4.30,10.00,2.00
7765.00,0.00,2008.00,4.30,60.00,1.00
5124.00,0.00,1987.00,4.30,15.00,1.00
9865.00,0.00,1985.00,4.30,130.00,1.00
4693.00,0.00,1975.00,4.30,15.00,1.00
8995.00,0.00,2010.00,4.40,30.00,7.00
5258.00,0.00,1990.00,4.40,160.00,4.00
10327.00,0.00,2018.00,4.40,60.00,3.00
4606.00,0.00,1972.00,4.40,130.00,2.00
10255.00,0.00,2017.00,4.40,10.00,1.00
4810.00,0.00,1978.00,4.50,100.00,17.00
4282.00,0.00,1963.00,4.50,140.00,4.00
10094.00,0.00,2014.00,4.50,60.00,2.00
8254.00,0.00,2008.00,4.50,30.00,2.00
5780.00,0.00,2004.00,4.50,60.00,1.00
5285.00,0.00,1991.00,4.50,140.00,1.00
5290.00,0.00,1991.00,4.50,170.00,1.00
4556.00,0.00,1971.00,4.60,130.00,24.00
5092.00,0.00,1986.00,4.60,160.00,16.00
4913.00,0.00,1981.00,4.60,130.00,12.00
8337.00,0.00,1966.00,4.60,140.00,12.00
5316.00,0.00,1992.00,4.60,140.00,6.00
10132.00,0.00,2015.00,4.60,30.00,2.00
5136.00,0.00,1987.00,4.60,140.00,2.00
10199.00,0.00,2016.00,4.60,30.00,1.00
7748.00,0.00,2008.00,4.60,15.00,1.00
7708.00,0.00,2007.00,4.60,160.00,1.00
7367.00,0.00,2006.00,4.60,30.00,1.00
5544.00,0.00,1999.00,4.60,30.00,1.00
8187.00,0.00,1968.00,4.60,10.00,1.00
5300.00,0.00,1991.00,4.70,160.00,92.00
4963.00,0.00,1983.00,4.70,130.00,12.00
5312.00,0.00,1991.00,4.70,60.00,11.00
5218.00,0.00,1989.00,4.70,30.00,4.00
5764.00,0.00,2004.00,4.70,10.00,3.00
8752.00,0.00,2010.00,4.70,30.00,1.00
6763.00,0.00,2005.00,4.70,30.00,1.00
5337.00,0.00,1992.00,4.70,140.00,1.00
3778.00,0.00,1944.00,4.80,140.00,20.00
558.00,0.00,1372.00,4.80,30.00,16.00
4918.00,0.00,1981.00,4.80,160.00,8.00
4520.00,0.00,1970.00,4.80,140.00,5.00
10228.00,0.00,2016.00,4.80,10.00,3.00
10241.00,0.00,2017.00,4.80,100.00,1.00
7697.00,0.00,2007.00,4.80,60.00,1.00
5844.00,0.00,2005.00,4.80,60.00,1.00
5146.00,0.00,1987.00,4.80,150.00,1.00
5118.00,0.00,1986.00,4.80,160.00,1.00
4716.00,0.00,1976.00,4.80,140.00,1.00
4593.00,0.00,1972.00,4.80,130.00,1.00
4502.00,0.00,1969.00,4.80,150.00,1.00
4968.00,0.00,1983.00,4.90,160.00,350.00
3002.00,0.00,1914.00,4.90,130.00,120.00
4967.00,0.00,1983.00,4.90,140.00,30.00
4767.00,0.00,1977.00,4.90,140.00,30.00
7321.00,0.00,2006.00,4.90,30.00,22.00
5453.00,0.00,1997.00,4.90,60.00,15.00
4892.00,0.00,1980.00,4.90,60.00,15.00
4902.00,0.00,1980.00,4.90,160.00,7.00
7231.00,0.00,2006.00,4.90,15.00,4.00
4741.00,0.00,1976.00,4.90,140.00,4.00
10340.00,0.00,2018.00,4.90,160.00,2.00
10288.00,0.00,2017.00,4.90,140.00,2.00
9950.00,0.00,2012.00,4.90,30.00,1.00
7768.00,0.00,2008.00,4.90,10.00,1.00
7229.00,0.00,2006.00,4.90,60.00,1.00
5244.00,0.00,1990.00,4.90,160.00,1.00
5104.00,0.00,1986.00,4.90,160.00,1.00
4549.00,0.00,1970.00,4.90,140.00,1.00
4430.00,0.00,1968.00,4.90,15.00,1.00
3523.00,0.00,1933.00,5.00,30.00,200.00
3733.00,0.00,1943.00,5.00,160.00,75.00
3434.00,0.00,1930.00,5.00,130.00,25.00
4005.00,0.00,1952.00,5.00,140.00,20.00
5469.00,0.00,1997.00,5.00,10.00,15.00
8109.00,0.00,1905.00,5.00,30.00,13.00
4399.00,0.00,1967.00,5.00,15.00,10.00
7942.00,0.00,1579.00,5.00,30.00,10.00
3577.00,0.00,1936.00,5.00,30.00,9.00
3311.00,0.00,1927.00,5.00,30.00,7.00
4279.00,0.00,1962.00,5.00,140.00,6.00
10227.00,0.00,2017.00,5.00,140.00,4.00
5599.00,0.00,2001.00,5.00,40.00,4.00
3345.00,0.00,1928.00,5.00,140.00,4.00
8106.00,0.00,1885.00,5.00,30.00,4.00
4983.00,0.00,1983.00,5.00,140.00,3.00
4655.00,0.00,1974.00,5.00,160.00,3.00
10264.00,0.00,2017.00,5.00,170.00,2.00
5004.00,0.00,1983.00,5.00,120.00,2.00
4792.00,0.00,1978.00,5.00,130.00,2.00
4701.00,0.00,1975.00,5.00,140.00,2.00
8186.00,0.00,2008.00,5.00,60.00,1.00
5313.00,0.00,1991.00,5.00,140.00,1.00
5208.00,0.00,1989.00,5.00,40.00,1.00
4051.00,0.00,1954.00,5.00,140.00,1.00
3424.00,0.00,1930.00,5.00,140.00,1.00
5301.00,0.00,1991.00,5.10,140.00,20.00
4340.00,0.00,1965.00,5.10,140.00,20.00
5787.00,0.00,2004.00,5.10,140.00,18.00
9821.00,0.00,2011.00,5.10,130.00,10.00
10118.00,0.00,2014.00,5.10,160.00,8.00
8852.00,0.00,1968.00,5.10,130.00,8.00
5762.00,0.00,2004.00,5.10,170.00,5.00
4714.00,0.00,1976.00,5.10,100.00,4.00
10145.00,0.00,2015.00,5.10,60.00,3.00
5145.00,0.00,1987.00,5.10,160.00,3.00
4950.00,0.00,1982.00,5.10,100.00,3.00
10239.00,0.00,2017.00,5.10,60.00,2.00
10113.00,0.00,2014.00,5.10,160.00,2.00
7246.00,0.00,2006.00,5.10,140.00,2.00
5295.00,0.00,1991.00,5.10,150.00,2.00
4464.00,0.00,1968.00,5.10,140.00,2.00
10345.00,0.00,2015.00,5.10,160.00,1.00
8992.00,0.00,2010.00,5.10,60.00,1.00
7699.00,0.00,2007.00,5.10,60.00,1.00
7700.00,0.00,2007.00,5.10,170.00,1.00
5733.00,0.00,2003.00,5.10,30.00,1.00
5201.00,0.00,1989.00,5.10,60.00,1.00
5039.00,0.00,1984.00,5.10,130.00,1.00
4649.00,0.00,1973.00,5.10,130.00,1.00
234.00,0.00,858.00,5.20,140.00,12000.00
218.00,0.00,851.00,5.20,40.00,12000.00
6828.00,0.00,2005.00,5.20,30.00,16.00
7597.00,0.00,2007.00,5.20,40.00,12.00
4922.00,0.00,1981.00,5.20,160.00,10.00
4307.00,0.00,1964.00,5.20,170.00,8.00
4378.00,0.00,1966.00,5.20,160.00,6.00
4299.00,0.00,1963.00,5.20,140.00,5.00
4756.00,0.00,1976.00,5.20,10.00,4.00
5038.00,0.00,1984.00,5.20,130.00,3.00
4908.00,0.00,1980.00,5.20,140.00,3.00
9132.00,0.00,2010.00,5.20,15.00,2.00
5776.00,0.00,2004.00,5.20,30.00,2.00
5792.00,0.00,2004.00,5.20,40.00,2.00
4654.00,0.00,1974.00,5.20,140.00,2.00
4575.00,0.00,1971.00,5.20,130.00,2.00
10304.00,0.00,2018.00,5.20,60.00,1.00
10348.00,0.00,2018.00,5.20,60.00,1.00
9777.00,0.00,2010.00,5.20,60.00,1.00
5789.00,0.00,2004.00,5.20,130.00,1.00
5530.00,0.00,1999.00,5.20,140.00,1.00
5319.00,0.00,1992.00,5.20,120.00,1.00
5135.00,0.00,1987.00,5.20,170.00,1.00
4853.00,0.00,1979.00,5.20,130.00,1.00
4568.00,0.00,1971.00,5.20,170.00,1.00
298.00,0.00,978.00,5.30,140.00,2000.00
5339.00,0.00,1992.00,5.30,15.00,545.00
3239.00,0.00,1923.00,5.30,160.00,300.00
5187.00,0.00,1989.00,5.30,40.00,274.00
1701.00,0.00,1827.00,5.30,30.00,84.00
4302.00,0.00,1963.00,5.30,60.00,80.00
9072.00,0.00,1924.00,5.30,140.00,50.00
4434.00,0.00,1968.00,5.30,140.00,38.00
5002.00,0.00,1983.00,5.30,30.00,34.00
5215.00,0.00,1989.00,5.30,30.00,29.00
5250.00,0.00,1990.00,5.30,140.00,20.00
5268.00,1.00,1990.00,5.30,130.00,19.00
5093.00,0.00,1986.00,5.30,60.00,6.00
7970.00,0.00,1814.00,5.30,30.00,4.00
5615.00,0.00,2002.00,5.30,40.00,3.00
5035.00,0.00,1984.00,5.30,130.00,3.00
5050.00,0.00,1984.00,5.30,140.00,3.00
3860.00,0.00,1947.00,5.30,15.00,3.00
7223.00,0.00,2006.00,5.30,60.00,2.00
10346.00,0.00,2018.00,5.30,40.00,1.00
10367.00,0.00,2018.00,5.30,60.00,1.00
10161.00,0.00,2015.00,5.30,160.00,1.00
10059.00,0.00,2014.00,5.30,140.00,1.00
7252.00,0.00,2005.00,5.30,60.00,1.00
5554.00,0.00,2000.00,5.30,140.00,1.00
5089.00,0.00,1986.00,5.30,160.00,1.00
5055.00,0.00,1985.00,5.30,140.00,1.00
7284.00,0.00,1983.00,5.30,30.00,1.00
4559.00,0.00,1971.00,5.30,140.00,1.00
4579.00,0.00,1971.00,5.30,140.00,1.00
4470.00,0.00,1968.00,5.30,130.00,1.00
4414.00,0.00,1967.00,5.30,120.00,1.00
2771.00,0.00,1906.00,5.30,30.00,1.00
5111.00,0.00,1986.00,5.40,100.00,1100.00
3488.00,0.00,1932.00,5.40,140.00,1070.00
4285.00,0.00,1963.00,5.40,15.00,300.00
4839.00,0.00,1979.00,5.40,30.00,42.00
4522.00,0.00,1970.00,5.40,60.00,26.00
5761.00,0.00,2004.00,5.40,60.00,24.00
5355.00,0.00,1993.00,5.40,140.00,24.00
8318.00,0.00,2009.00,5.40,40.00,19.00
4931.00,0.00,1981.00,5.40,160.00,15.00
5221.00,0.00,1989.00,5.40,170.00,12.00
4519.00,0.00,1970.00,5.40,160.00,12.00
5661.00,0.00,2002.00,5.40,60.00,11.00
3373.00,0.00,1928.00,5.40,140.00,10.00
3484.00,1.00,1932.00,5.40,90.00,8.00
10248.00,0.00,2017.00,5.40,40.00,8.00
5569.00,0.00,2000.00,5.40,100.00,7.00
5683.00,0.00,2003.00,5.40,40.00,5.00
5508.00,0.00,1998.00,5.40,140.00,5.00
5796.00,0.00,2004.00,5.40,30.00,4.00
5716.00,0.00,2003.00,5.40,30.00,4.00
5382.00,0.00,1994.00,5.40,90.00,4.00
10221.00,0.00,2016.00,5.40,160.00,3.00
5559.00,0.00,2000.00,5.40,30.00,3.00
4775.00,0.00,1977.00,5.40,140.00,3.00
8185.00,0.00,2008.00,5.40,60.00,2.00
5633.00,0.00,2002.00,5.40,140.00,2.00
5235.00,0.00,1990.00,5.40,130.00,2.00
10318.00,0.00,2017.00,5.40,160.00,1.00
10229.00,0.00,2016.00,5.40,60.00,1.00
10230.00,0.00,2016.00,5.40,40.00,1.00
8383.00,0.00,2009.00,5.40,40.00,1.00
5791.00,0.00,2004.00,5.40,170.00,1.00
5622.00,0.00,2002.00,5.40,140.00,1.00
5522.00,0.00,1999.00,5.40,40.00,1.00
5190.00,0.00,1989.00,5.40,170.00,1.00
4886.00,0.00,1980.00,5.40,140.00,1.00
3281.00,0.00,1925.00,5.50,140.00,500.00
1997.00,0.00,1856.00,5.50,30.00,300.00
3422.00,0.00,1930.00,5.50,30.00,200.00
74.00,0.00,294.00,5.50,30.00,101.00
737.00,0.00,1560.00,5.50,30.00,100.00
8099.00,0.00,1834.00,5.50,30.00,88.00
2261.00,0.00,1878.00,5.50,30.00,70.00
4396.00,1.00,1967.00,5.50,170.00,58.00
4715.00,0.00,1976.00,5.50,40.00,50.00
158.00,0.00,649.00,5.50,30.00,50.00
1301.00,0.00,1748.00,5.50,30.00,40.00
3580.00,0.00,1936.00,5.50,30.00,30.00
9836.00,0.00,2011.00,5.50,30.00,25.00
1662.00,0.00,1822.00,5.50,30.00,23.00
783.00,0.00,1586.00,5.50,30.00,20.00
9983.00,0.00,2013.00,5.50,40.00,18.00
8095.00,0.00,1748.00,5.50,30.00,15.00
2544.00,0.00,1898.00,5.50,30.00,12.00
7891.00,0.00,1881.00,5.50,30.00,11.00
4944.00,0.00,1982.00,5.50,30.00,10.00
10191.00,0.00,2016.00,5.50,160.00,9.00
8102.00,0.00,1863.00,5.50,40.00,9.00
7890.00,0.00,1880.00,5.50,30.00,8.00
7985.00,0.00,1855.00,5.50,30.00,7.00
10103.00,0.00,2014.00,5.50,15.00,6.00
8116.00,0.00,1902.00,5.50,30.00,6.00
10342.00,0.00,2018.00,5.50,30.00,5.00
4742.00,0.00,1976.00,5.50,130.00,5.00
9919.00,0.00,2012.00,5.50,30.00,4.00
5334.00,0.00,1992.00,5.50,60.00,4.00
4719.00,0.00,1976.00,5.50,140.00,4.00
4333.00,0.00,1965.00,5.50,15.00,4.00
2615.00,0.00,1902.00,5.50,140.00,4.00
8021.00,0.00,1947.00,5.50,30.00,3.00
7918.00,0.00,1494.00,5.50,30.00,3.00
10254.00,0.00,2017.00,5.50,60.00,2.00
9632.00,0.00,2010.00,5.50,130.00,2.00
5636.00,0.00,2002.00,5.50,10.00,2.00
5667.00,0.00,2002.00,5.50,30.00,2.00
5598.00,0.00,2001.00,5.50,30.00,2.00
5359.00,0.00,1993.00,5.50,15.00,2.00
8015.00,0.00,1940.00,5.50,30.00,2.00
8013.00,0.00,1939.00,5.50,30.00,2.00
3282.00,0.00,1925.00,5.50,140.00,2.00
7944.00,0.00,1611.00,5.50,30.00,2.00
10362.00,0.00,2018.00,5.50,140.00,1.00
10109.00,0.00,2014.00,5.50,10.00,1.00
10050.00,0.00,2013.00,5.50,60.00,1.00
8277.00,0.00,2009.00,5.50,130.00,1.00
8125.00,0.00,2008.00,5.50,15.00,1.00
7409.00,0.00,2006.00,5.50,90.00,1.00
5505.00,0.00,1998.00,5.50,130.00,1.00
5227.00,0.00,1990.00,5.50,170.00,1.00
4953.00,0.00,1982.00,5.50,130.00,1.00
4706.00,0.00,1975.00,5.50,130.00,1.00
4648.00,0.00,1973.00,5.50,140.00,1.00
4487.00,0.00,1969.00,5.50,130.00,1.00
4277.00,0.00,1962.00,5.50,140.00,1.00
8020.00,0.00,1947.00,5.50,30.00,1.00
3460.00,0.00,1931.00,5.60,100.00,2450.00
2185.00,0.00,1871.00,5.60,140.00,2000.00
1063.00,1.00,1672.00,5.60,130.00,1500.00
3819.00,0.00,1946.00,5.60,15.00,264.00
2565.00,0.00,1899.00,5.60,140.00,247.00
865.00,1.00,1613.00,5.60,130.00,103.00
9937.00,0.00,2012.00,5.60,30.00,81.00
4471.00,0.00,1969.00,5.60,140.00,50.00
187.00,0.00,778.00,5.60,130.00,48.00
4214.00,0.00,1960.00,5.60,15.00,47.00
5252.00,0.00,1990.00,5.60,40.00,43.00
5550.00,0.00,1999.00,5.60,15.00,24.00
5053.00,0.00,1984.00,5.60,60.00,20.00
4372.00,0.00,1966.00,5.60,60.00,15.00
5415.00,0.00,1995.00,5.60,30.00,14.00
4111.00,0.00,1957.00,5.60,15.00,13.00
3820.00,0.00,1946.00,5.60,140.00,12.00
9012.00,0.00,2010.00,5.60,40.00,11.00
5767.00,0.00,2004.00,5.60,140.00,10.00
4891.00,0.00,1980.00,5.60,160.00,8.00
7879.00,0.00,2008.00,5.60,160.00,6.00
5509.00,0.00,1998.00,5.60,30.00,5.00
5734.00,0.00,2003.00,5.60,30.00,4.00
7363.00,0.00,2006.00,5.60,40.00,3.00
5731.00,0.00,2003.00,5.60,30.00,3.00
5593.00,0.00,2001.00,5.60,30.00,3.00
5119.00,0.00,1986.00,5.60,110.00,3.00
5452.00,0.00,1997.00,5.60,40.00,2.00
5298.00,0.00,1991.00,5.60,110.00,2.00
4917.00,0.00,1981.00,5.60,130.00,2.00
10283.00,0.00,2017.00,5.60,160.00,1.00
10171.00,0.00,2016.00,5.60,170.00,1.00
