algo,titanic,space,flights,housing,quakes,cancer,stocks,useful
1.0000000000,0.9820359281,1.0000000000,0.9998814199,0.8546421449,0.8546421449,1.0000000000,0.2057610000,1.0000000000
2.0000000000,0.7443946188,0.6055045872,0.9991561531,0.7561461794,0.7541528239,0.9370620000,0.0864190000,0.0000000000
3.0000000000,0.9820359281,1.0000000000,0.9998531538,1.0000000000,0.8492854769,1.0000000000,0.2057610000,1.0000000000
4.0000000000,0.8026905830,0.7145769623,0.9998179938,1.0000000000,0.8451827243,0.9720270000,0.0925920000,1.0000000000
5.0000000000,0.8982035928,1.0000000000,0.9997333333,1.0000000000,0.7934854864,0.9694830000,0.1234560000,1.0000000000
6.0000000000,0.6771300448,0.2971457696,0.9804800000,0.5945736434,0.7681063123,0.9580410000,0.0925920000,1.0000000000
7.0000000000,0.0000000000,0.0000000000,-0.0017251300,13.8595381400,-0.0150282100,0.7751170000,0.8587390000,0.0000000000
8.0000000000,0.0000000000,0.0000000000,11.2463700200,199400.7988737300,3.8269285300,0.7324070000,0.8517380000,0.0000000000
9.0000000000,0.8383233533,0.5485898743,99.9400000000,99.9800000000,79.4600000000,0.9201870000,0.0000000000,1.0000000000
10.0000000000,0.6950672646,0.2762487258,99.9300000000,99.9600000000,75.0800000000,0.9650340000,0.0000000000,1.0000000000
11.0000000000,0.0642454100,0.2400992582,0.0000000000,0.0000000000,0.0000000000,0.6101360000,0.8483150000,0.0000000000
12.0000000000,0.0694310415,0.2359691343,0.0000000000,0.0000000000,0.0000000000,0.6845890000,0.7987660000,0.0000000000
13.0000000000,0.0000000000,0.0000000000,-3.7830034800,10776.6993681100,10776.6993681100,0.0000000000,0.0000000000,0.0000000000
14.0000000000,0.0000000000,0.0000000000,0.0184775500,248.1289358500,248.1289358500,0.0000000000,0.0000000000,0.0000000000
15.0000000000,0.0000000000,0.0000000000,0.0020647100,-5.4418297500,-5.4418297500,0.0000000000,0.0000000000,0.0000000000
16.0000000000,0.0000000000,0.0000000000,0.9545232500,-6.5934886300,-6.5934886300,0.0000000000,0.0000000000,0.0000000000
17.0000000000,0.0000000000,0.0000000000,0.0008670604,0.4727203318,0.0167882965,0.0000000000,0.0000000000,0.0000000000
18.0000000000,0.0000000000,0.0000000000,0.0009214893,0.4757036544,0.0045035934,0.0000000000,0.0000000000,0.0000000000
19.0000000000,0.0000000000,0.0000000000,0.9195876334,0.47669945,0.0129762561,0.0000000000,0.0000000000,0.0000000000
20.0000000000,-813247.3174000000,-227000000000000000000.0000000000,-8017783793.0340100000,-11554892497.4830000000,-458635.1346130780,-21731174.1900000000,-342.6386500000,0.0000000000
21.0000000000,-189691.9231000000,-205000000000000000000.0000000000,-2672817597.1421700000,-4322968251.6923100000,-145068.3055204460,-7718723.6980000000,-342.6386500000,0.0000000000
22.0000000000,0.7964071856,0.0757730207,0.0000000000,0.0000000000,0.0000000000,0.9396320000,0.1296290000,1.0000000000
23.0000000000,0.7802690583,0.0733944954,0.0000000000,0.0000000000,0.0000000000,0.9414890000,0.0740740000,0.0000000000
24.0000000000,0.8293413174,0.3899082569,0.0000000000,0.0000000000,0.0000000000,0.9396320000,0.1275720000,1.0000000000
25.0000000000,0.7937219731,0.3848114169,0.0000000000,0.0000000000,0.0000000000,0.9414890000,0.0925920000,1.0000000000
26.0000000000,0.8008982036,0.3046211349,0.9988059257,0.9913436693,0.7010857523,0.9577460000,0.8715880000,1.0000000000
27.0000000000,0.7937219731,0.3129459735,0.9987755946,0.9932170543,0.7136212625,0.9580410000,0.8715880000,1.0000000000
28.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8684110000,0.0000000000
29.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001920000,0.8239260000,0.0000000000
